name,detail_link,dati_anagrafici,gruppo,gruppi,legislatura
BERGAMINI Alberto,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9197,,,Gruppo Misto : Vicepresidente dall'8 maggio 1948 al 24 giugno 1953,1
BERGMANN Giulio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9198,,,Gruppo Repubblicano : Segretario dall'8 maggio 1948 al 24 giugno 1953,1
BERLINGUER Mario,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9199,,,Gruppo Partito Socialista Italiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BERTINI Giovanni,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9200,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 29 dicembre 1949,1
BERTONE Giovanni Battista,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9201,,,Gruppo Democratico Cristiano : Componente del Comitato Direttivo dall'8 maggio 1948 al 31 dicembre 1948 Membro dal 1 gennaio 1949 al 24 giugno 1953,1
BIBOLOTTI Aladino,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9202,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 febbraio 1951,1
BISORI Guido,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=7146,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BITOSSI Renato,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9203,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BO Giorgio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=7144,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 31 dicembre 1950 Componente del Comitato Direttivo dal 1 gennaio 1951 al 24 giugno 1953,1
BOCCASSI Carlo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=6583,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BOCCONI Alessandro,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9204,,,Gruppo Unita' Socialista : Membro dall'8 maggio 1948 al 5 febbraio 1952 (dal 19 giugno 1951 il Gruppo assume la denominazione PSI (Sezione Italiana dell'Internaz. Socialista)) Presidente dal 6 febbraio 1952 al 24 giugno 1953 (dal 13 febbraio 1952 il Gruppo assume la denominazione Partito Socialista Democratico Italiano),1
BOERI Giovanni Battista,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9205,,,Gruppo Repubblicano : Vicepresidente dall'8 maggio 1948 al 24 giugno 1953,1
BOGGIANO PICO Antonio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=7139,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BOLOGNESI Severino,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9206,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BONOMI Ivanoe,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9207,,,Gruppo Misto : Membro dall'8 maggio 1948 al 20 aprile 1951,1
BONTEMPELLI Massimo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9208,,,Gruppo Democratico di Sinistra : Membro dall'8 maggio 1948 al 31 dicembre 1948; Gruppo Comunista : Membro dal 1 gennaio 1949 al 2 febbraio 1950,1
BORROMEO Luigi,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9209,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BOSCO Giacinto,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=6598,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 31 dicembre 1950 Componente del Comitato Direttivo dal 1 gennaio 1951 al 31 dicembre 1952 Membro dal 1 gennaio 1953 al 24 giugno 1953,1
BOSCO LUCARELLI Giambattista,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9210,,,Gruppo Democratico Cristiano : Componente del Comitato Direttivo dall'8 maggio 1948 al 31 dicembre 1948 Membro dal 1 gennaio 1949 al 24 giugno 1953,1
BOSI Ilio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=6599,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BRACCESI Giorgio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9211,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 31 dicembre 1952 Componente del Comitato Direttivo dal 1 gennaio 1953 al 24 giugno 1953,1
BRAITENBERG Carlo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9212,,,Gruppo Misto : Membro dall'8 maggio 1948 al 31 dicembre 1948; Gruppo Democratico Cristiano : Membro dal 1 gennaio 1949 al 24 giugno 1953,1
BRASCHI Giovanni,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9213,,,Gruppo Democratico Cristiano : Componente del Comitato Direttivo dall'8 maggio 1948 al 31 dicembre 1949 Membro dal 1 gennaio 1950 al 24 giugno 1953,1
BRUNA Settimio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9214,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BUBBIO Teodoro,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9215,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BUFFONI Francesco,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9216,,,Gruppo Partito Socialista Italiano : Membro dall'8 maggio 1948 al 1 febbraio 1951,1
BUIZZA Angelo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9217,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BUONOCORE Giuseppe,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9218,,,Gruppo Misto : Membro dall'8 maggio 1948 all'8 ottobre 1949,1
CADORNA Raffaele,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9219,,,Gruppo Misto : Membro dall'8 maggio 1948 al 24 giugno 1953,1
